,img_name,img_num,split_num,sort_seq,avg,variance,num_of_anno,class_name
10,img126,126,1,11,254.98341625207297,0.031234100366052998,1,small_bs
18,img65,65,1,19,254.94696969697003,0.124810164582892,2,small_bs
47,img75_rotate,75,2,48,254.289244851259,4.5351017180799005,2,small_bs
51,img76_rotate,76,2,52,254.03488372093,5.3836668469442905,2,small_bs
42,img74,74,1,43,254.10057854917702,6.342353915392111,1,small_bs
15,img62_rotate,62,2,16,254.08119658119702,8.3812276280225,2,small_bs
33,img71_rotate,71,2,34,253.792778649921,12.225505151946098,2,small_bs
55,img79_rotate,79,2,56,253.863636363636,12.6800215594682,2,small_bs
17,img64_rotate,64,1,18,252.60602759622398,21.3723819687374,2,small_bs
3,img105_rotate,105,2,4,252.823147440794,21.8216643487731,2,small_bs
29,img69_rotate,69,2,30,252.91460674157298,26.7443933846736,2,small_bs
8,img112,112,1,9,252.329124579125,35.4447073144464,1,small_bs
41,img73_rotate,73,2,42,252.159378036929,38.813276969818894,2,small_bs
116,img5,5,1,53,251.799663299663,39.6669359135689,1,big_bs
69,img103,103,1,6,250.591715976331,41.683402775346295,1,big_bs_nc
20,img66,66,1,21,251.88095238095198,42.3367048573815,2,small_bs
62,img87,87,1,63,251.766990291262,43.0127429989811,1,small_bs
59,img81_rotate,81,2,60,251.703279938978,60.900515557789795,2,small_bs
37,img72_rotate,72,2,38,251.46420940170898,64.0350438193988,2,small_bs
25,img67_rotate,67,2,26,249.70780141843997,76.9506483577285,2,small_bs
74,img11,11,1,11,245.439351851852,95.2315069873114,1,big_bs_nc
128,img7,7,1,65,249.863608562691,156.806473828428,1,big_bs
119,img52,52,1,56,246.83346379647702,164.285181544188,1,big_bs
79,img13,13,1,16,244.770827489481,167.086610395205,1,big_bs
112,img46,46,1,49,244.491600353669,192.797232717383,1,big_bs_nc
108,img42,42,1,45,245.85,205.332004504505,1,big_bs
7,img108_rotate,108,2,8,245.773209549072,213.939812775718,2,small_bs
96,img3,3,1,33,245.270661157025,217.33707311659,1,big_bs
133,img9,9,1,70,247.73730787144902,224.834579245224,1,big_bs
64,img1,1,1,1,246.640740740741,268.934569148273,1,big_bs
118,img51,51,1,55,242.149487179487,283.83073050624597,1,big_bs
110,img44,44,1,47,243.237179487179,297.7952843524,1,big_bs
75,img110,110,1,12,238.435052660005,415.329767800359,1,big_bs
60,img85,85,1,61,241.883043478261,443.799799432892,1,small_bs
129,img8,8,1,66,227.86186384666198,446.352365858528,1,big_bs
49,img76,76,2,50,234.772061657033,488.59139671296094,2,big_bs
78,img12,12,1,15,212.094871794872,494.56407626561503,1,big
113,img47,47,1,50,231.06508987701,517.765678161269,1,big_bs
38,img73,73,1,39,233.52124322782998,550.217612597527,2,big_bs
131,img83,83,1,68,219.623873873874,578.216355713822,1,big
72,img107,107,1,9,234.812098765432,578.830619051974,1,big_bs
45,img75,75,2,46,231.32256693582698,664.659231489889,2,big_bs
77,img113,113,1,14,227.874694675134,676.806721633694,1,big_bs
121,img54,54,1,58,231.36277992278,706.4668463260831,1,big_bs
115,img49,49,1,52,230.45947341249402,749.403752536335,1,big_bs
101,img34,34,1,38,230.016216856061,768.051465233277,1,big_bs_nc
103,img36,36,1,40,205.230573248408,808.6402542361419,1,big
84,img18,18,1,21,227.07059556663398,817.6128387532859,1,big_bs
12,img62,62,1,13,224.236673365872,890.7301853542149,2,big_bs
68,img102,102,1,5,222.132530120482,960.532754689915,1,big_bs
23,img67,67,2,24,225.29144729144699,978.019071580321,2,big_bs
100,img33,33,1,37,217.06005709266603,1045.10563776573,1,big_bs
5,img108,108,2,6,217.511627906977,1053.67474762846,2,big_bs
126,img60,60,1,63,224.80275119617198,1081.75953788547,1,big_bs
31,img71,71,2,32,213.580570098895,1086.3866149164098,2,big_bs
27,img69,69,2,28,222.994011976048,1087.87720965255,2,big_bs
57,img81,81,2,58,221.886128364389,1173.8975462480698,2,big_bs
35,img72,72,2,36,225.24666666666698,1223.45754636015,2,big_bs
87,img20,20,1,24,217.73224925521302,1339.73578222983,1,big_bs
123,img56,56,1,60,220.618487394958,1458.99348556535,1,big_bs
1,img105,105,2,2,208.82403628117902,1504.46881001229,2,big_bs
142,img98,98,1,79,214.32625994695,1713.26338002374,1,big
53,img79,79,2,54,200.223885918004,1780.0422102115801,2,big_bs
92,img26,26,1,29,202.014000949217,3765.08025010536,1,big
