img_name,img_num,split_num,sort_seq,variance,num_of_anno,class_name
img58_rotate,58,2,28,2.2624094675102575,2,contrast_dif_bs
img125_rotate,125,1,21,2.7287579072638257,1,contrast_dif_bs
img66_rotate,66,2,40,3.487740044046066,2,contrast_bs
img76_rotate,76,2,59,5.383666846944294,2,small_bs
img80_rotate,80,2,67,6.271687433424256,2,contrast_bs
img62_rotate,62,2,32,8.3812276280225,2,small_bs
img121_rotate,121,1,16,8.783770746533708,1,contrast_dif
img71_rotate,71,2,50,12.225505151946061,2,small_bs
img79_rotate,79,2,65,12.680021559468198,2,small_bs
img63_rotate,63,2,34,15.258085612366232,2,contrast_bs
img68_rotate,68,2,44,16.513561623595464,2,contrast_dif_bs
img117_rotate,117,2,10,18.90309864709352,2,contrast_dif_bs
img64_rotate,64,2,36,21.37238196873736,2,small_bs
img105_rotate,105,2,2,21.82166434877305,2,small_bs
img40_rotate,40,2,26,21.964137570094863,2,big
img77_rotate,77,2,61,22.38202806122449,2,contrast_bs
img75_rotate,75,2,57,22.475493876242535,2,small_bs
img69_rotate,69,2,46,26.744393384673646,2,small_bs
img120_rotate,120,1,15,31.226216133531445,1,contrast_dif
img122_rotate,122,1,17,36.23987795776436,2,contrast_dif
img123_rotate,123,1,19,38.34026137976597,1,contrast_dif
img73_rotate,73,2,54,38.81327696981889,2,small_bs
img119_rotate,119,1,13,40.73349112426036,2,contrast_dif
img65_rotate,65,2,38,41.55329951260583,2,contrast_dif_bs
img78_rotate,78,2,63,47.3511337402141,2,contrast_dif_bs
img124_rotate,124,1,20,49.621265079365074,1,contrast_dif
img118_rotate,118,1,11,49.73614917307661,2,contrast_dif
img81_rotate,81,2,69,60.900515557789774,2,small_bs
img119_rotate,119,2,14,63.58640521990587,2,contrast_dif_bs
img72_rotate,72,2,52,64.0350438193988,2,contrast_bs
img117_rotate,117,1,9,66.33050169145454,2,contrast_dif
img88_rotate,88,1,73,74.570209850047,1,contrast
img67_rotate,67,2,42,76.9506483577285,2,small_bs
img122_rotate,122,2,18,78.41148458616408,2,contrast_dif_bs
img70_rotate,70,2,48,84.45386276709532,2,contrast_bs
img64_rotate,64,1,35,90.03018344932653,2,contrast
img126_rotate,126,1,22,90.45068258595957,1,small
img115_rotate,115,1,7,94.18880569979471,1,contrast_bs
img86_rotate,86,1,71,129.4395626666667,1,contrast
img118_rotate,118,2,12,164.82286612084013,2,contrast_dif_bs
img116_rotate,116,1,8,169.97516861537025,1,contrast_dif
img63_rotate,63,1,33,177.00489915236065,2,contrast
img108_rotate,108,2,4,213.9398127757178,2,small_bs
img74_rotate,74,1,55,239.72074302994147,2,small
img65_rotate,65,1,37,240.99733222735412,2,contrast
img89_rotate,89,1,74,332.6737726658951,1,contrast
img59_rotate,59,2,30,334.55725299262235,2,contrast_dif_bs
img85_rotate,85,1,70,340.6435136362042,1,small
img114_rotate,114,1,6,389.04613781212845,1,contrast_dif
img66_rotate,66,1,39,428.0102042027487,2,small
img112_rotate,112,1,5,433.9521683673469,1,small
img37_rotate,37,2,24,496.12383044814027,2,contrast_dif
img87_rotate,87,1,72,585.6949922486002,1,small
img68_rotate,68,1,43,816.5090236572247,2,big
img67_rotate,67,1,41,946.8444400192714,2,big
img108_rotate,108,1,3,983.5519583055494,2,big
img62_rotate,62,1,31,1031.9478899780518,2,big
img59_rotate,59,1,29,1041.3418037412105,2,big
img105_rotate,105,1,1,1077.1524242324906,2,big
img71_rotate,71,1,49,1147.1020196796117,2,big
img75_rotate,75,1,56,1259.6248056688783,2,big
img77_rotate,77,1,60,1313.185315626498,2,big
img40_rotate,40,1,25,1366.4091259007334,2,contrast_bs
img58_rotate,58,1,27,1398.3692774079507,2,big
img76_rotate,76,1,58,1439.3469106337277,2,big
img79_rotate,79,1,64,1465.5906164568778,2,big
img69_rotate,69,1,45,1473.057500157126,2,big
img37_rotate,37,1,23,1525.7598621795212,2,big
img80_rotate,80,1,66,1550.857234519781,2,big
img70_rotate,70,1,47,1567.663317528752,2,big
img72_rotate,72,1,51,1594.7741301458404,2,big
img81_rotate,81,1,68,1837.770478810784,2,big
img78_rotate,78,1,62,1912.8514810603242,2,big
img73_rotate,73,1,53,1996.307613296399,2,big
