name,num,dif
img1,1,108
img10,10,226
img100,100,140
img101,101,226
img102,102,129
img103,103,42
img104,104,387
img105,105,206
img105,105,147
img106,106,149
img107,107,80
img108,108,158
img108,108,128
img109,109,243
img11,11,77
img110,110,73
img111,111,347
img112,112,17
img113,113,158
img114,114,66
img115,115,120
img116,116,11
img117,117,69
img118,118,29
img119,119,46
img119,119,91
img12,12,217
img120,120,73
img121,121,34
img122,122,62
img122,122,46
img123,123,19
img124,124,16
img125,125,49
img126,126,5
img13,13,101
img14,14,419
img15,15,224
img16,16,231
img17,17,342
img18,18,103
img19,19,392
img2,2,406
img20,20,104
img21,21,237
img22,22,119
img22,22,104
img22,22,168
img23,23,111
img24,24,82
img25,25,100
img26,26,89
img27,27,236
img28,28,276
img29,29,344
img3,3,100
img30,30,203
img31,31,250
img32,32,243
img33,33,134
img34,34,104
img35,35,330
img36,36,201
img37,37,410
img37,37,56
img38,38,215
img39,39,385
img4,4,418
img40,40,107
img40,40,110
img41,41,326
img42,42,89
img43,43,302
img44,44,105
img45,45,355
img46,46,76
img47,47,168
img48,48,337
img49,49,190
img5,5,44
img50,50,440
img51,51,72
img52,52,92
img53,53,367
img54,54,67
img55,55,407
img56,56,164
img57,57,368
img58,58,119
img58,58,73
img59,59,183
img59,59,65
img6,6,391
img60,60,99
img61,61,383
img62,62,88
img62,62,221
img63,63,93
img63,63,11
img64,64,147
img64,64,3
img65,65,88
img65,65,18
img66,66,112
img66,66,17
img67,67,143
img67,67,74
img68,68,142
img68,68,83
img69,69,196
img69,69,134
img7,7,63
img70,70,96
img70,70,159
img71,71,109
img71,71,145
img72,72,132
img72,72,112
img73,73,109
img73,73,151
img74,74,10
img75,75,142
img75,75,90
img76,76,175
img76,76,81
img77,77,93
img77,77,136
img78,78,194
img78,78,65
img79,79,87
img79,79,174
img8,8,154
img80,80,131
img80,80,201
img81,81,248
img81,81,111
img82,82,432
img83,83,249
img84,84,322
img85,85,61
img86,86,8
img87,87,19
img88,88,54
img89,89,14
img9,9,103
img90,90,216
img91,91,205
img92,92,336
img93,93,311
img94,94,272
img95,95,282
img96,96,304
img97,97,116
img98,98,99
img99,99,255
