name,num,dif
img1,1,108
img10,10,226
img100,100,141
img101,101,226
img102,102,132
img103,103,49
img104,104,387
img105,105,213
img105,105,147
img106,106,161
img107,107,82
img108,108,158
img108,108,128
img109,109,243
img11,11,77
img110,110,73
img111,111,347
img112,112,21
img113,113,158
img114,114,65
img115,115,121
img116,116,16
img117,117,77
img118,118,27
img119,119,50
img119,119,95
img12,12,217
img120,120,78
img121,121,37
img122,122,66
img122,122,46
img123,123,26
img124,124,18
img125,125,50
img126,126,4
img13,13,103
img14,14,419
img15,15,224
img16,16,232
img17,17,342
img18,18,104
img19,19,392
img2,2,406
img20,20,122
img21,21,238
img22,22,120
img22,22,112
img22,22,171
img23,23,113
img24,24,83
img25,25,101
img26,26,90
img27,27,236
img28,28,276
img29,29,344
img3,3,100
img30,30,203
img31,31,251
img32,32,244
img33,33,134
img34,34,116
img35,35,330
img36,36,201
img37,37,410
img37,37,66
img38,38,219
img39,39,385
img4,4,418
img40,40,107
img40,40,110
img41,41,326
img42,42,90
img43,43,302
img44,44,105
img45,45,355
img46,46,77
img47,47,168
img48,48,337
img49,49,190
img5,5,47
img50,50,440
img51,51,73
img52,52,96
img53,53,367
img54,54,72
img55,55,407
img56,56,164
img57,57,368
img58,58,119
img58,58,74
img59,59,183
img59,59,65
img6,6,391
img60,60,100
img61,61,383
img62,62,90
img62,62,221
img63,63,95
img63,63,11
img64,64,149
img64,64,3
img65,65,89
img65,65,22
img66,66,113
img66,66,20
img67,67,143
img67,67,76
img68,68,143
img68,68,85
img69,69,196
img69,69,139
img7,7,63
img70,70,106
img70,70,167
img71,71,115
img71,71,151
img72,72,132
img72,72,114
img73,73,110
img73,73,152
img74,74,10
img75,75,142
img75,75,92
img76,76,176
img76,76,86
img77,77,95
img77,77,140
img78,78,197
img78,78,113
img79,79,88
img79,79,176
img8,8,158
img80,80,132
img80,80,201
img81,81,248
img81,81,112
img82,82,432
img83,83,249
img84,84,322
img85,85,75
img86,86,8
img87,87,19
img88,88,64
img89,89,15
img9,9,102
img90,90,216
img91,91,205
img92,92,336
img93,93,311
img94,94,272
img95,95,283
img96,96,304
img97,97,127
img98,98,102
img99,99,255
