img_name,img_num,split_num,sort_seq,variance,num_of_anno,class_name
img64,64,2,101,0.0,2,contrast_bs
img126,126,1,35,0.031234100366052543,1,small_bs
img65,65,2,103,0.12481016458289182,2,contrast_bs
img116,116,1,22,0.54255373747132,1,contrast_dif_bs
img89,89,1,144,1.4415781779008927,1,contrast_bs
img123,123,1,32,2.4686516588626635,1,contrast_dif_bs
img63,63,2,99,2.9909826913988664,2,contrast_bs
img124,124,1,33,3.2579452404627234,1,contrast_dif_bs
img86,86,1,141,5.723235598282362,1,contrast_bs
img74,74,1,121,6.34235391539211,1,small_bs
img117,117,1,23,31.907359182098762,1,contrast_dif_bs
img119,119,1,25,32.16599002770083,2,contrast_dif_bs
img112,112,1,18,35.44470731444637,1,small_bs
img5,5,1,80,36.24296336604604,1,big_bs_nc
img118,118,1,24,39.60947878798519,1,contrast_bs
img103,103,1,6,41.68340277534633,1,big_bs_nc
img66,66,2,105,42.33670485738155,2,small_bs
img122,122,1,30,42.81425987846675,2,contrast_dif_bs
img87,87,1,142,43.012742998981096,1,small_bs
img88,88,1,143,47.427978712229965,1,contrast_bs
img125,125,1,34,49.80557121575558,1,contrast_dif
img78,78,2,129,50.42313747991684,2,contrast_dif
img120,120,1,28,54.293000888586775,1,contrast_dif_bs
img114,114,1,20,71.61335504957013,1,contrast_dif_bs
img121,121,1,29,78.66913303127296,1,contrast_dif_bs
img122,122,2,31,84.54251132296004,2,contrast_dif
img11,11,1,15,95.23150698731138,1,big_bs_nc
img37,37,2,65,114.13376372634123,2,contrast_bs
img63,63,1,98,114.97863826643231,2,contrast
img70,70,1,113,124.89984353888781,2,contrast
img79,79,1,130,138.8151851851852,2,small
img119,119,2,26,149.47712710148653,2,contrast_dif
img7,7,1,112,156.8064738284282,1,big_bs_nc
img22,22,2,47,161.18787195039238,3,big_bs
img52,52,1,83,164.28518154418836,1,big_bs
img13,13,1,36,167.08661039520504,1,big_bs
img59,59,2,92,167.56292763762758,2,contrast_dif
img58,58,2,90,184.6746468520117,2,contrast_dif
img65,65,1,102,190.65921980549024,2,contrast_dif
img46,46,1,76,192.7972327173827,1,big_bs_nc
img77,77,1,126,194.12552785472454,2,contrast
img68,68,2,109,197.28556951938617,2,contrast_dif
img42,42,1,72,205.33200450450454,1,big_bs
img3,3,1,56,217.3370731165904,1,big_bs
img9,9,1,145,224.8345792452245,1,big_bs
img1,1,1,1,268.93456914827283,1,big_bs
img71,71,1,115,275.2868399260788,2,small
img108,108,1,12,283.7872816510204,2,small
img51,51,1,82,283.8307305062459,1,big_bs
img64,64,1,100,284.5169308689284,2,small
img44,44,1,74,297.79528435239973,1,big_bs
img72,72,1,117,302.99059975361877,2,contrast
img75,75,1,122,304.553964,2,small
img80,80,1,133,402.473664304449,2,contrast
img110,110,1,16,415.32976780035943,1,big_bs
img73,73,2,120,424.3500270985085,2,small
img8,8,1,132,446.3523658585277,1,big_bs
img66,66,1,104,468.07809169756126,2,contrast
img85,85,1,140,475.0528166351606,1,small_bs
img40,40,1,69,479.1034891598916,2,contrast
img22,22,1,46,479.9651024664761,3,big
img67,67,1,106,481.94372116505906,2,small
img76,76,2,125,488.59139671296145,2,big_bs
img12,12,1,27,494.56407626561474,1,big
img69,69,1,110,511.7272956182713,2,small
img47,47,1,77,517.7656781612694,1,big_bs
img73,73,1,119,550.2176125975269,2,big_bs
img83,83,1,138,578.2163557138219,1,big
img107,107,1,11,578.8306190519738,1,big_bs
img106,106,1,10,589.8532774722012,1,big
img105,105,1,8,616.1511013935259,2,small
img75,75,2,123,664.6592314898885,2,big_bs
img62,62,2,97,667.9891313940201,2,small
img40,40,2,70,674.3662404492046,2,big_bs
img113,113,1,19,676.8067216336943,1,big_bs
img115,115,1,21,690.8155562293373,1,contrast
img54,54,1,85,706.4668463260834,1,big_bs
img76,76,1,124,712.2679046982637,2,small
img49,49,1,79,749.4037525363349,1,big_bs
img34,34,1,61,768.0514652332765,1,big_bs_nc
img36,36,1,63,808.6402542361421,1,big
img18,18,1,41,817.6128387532858,1,big_bs
img10,10,1,2,823.9199516864817,1,big
img77,77,2,127,839.9527746283085,2,big_bs
img15,15,1,38,840.2038504300589,1,big
img21,21,1,45,842.8720580937803,1,big
img81,81,1,135,865.9672744534424,2,small
img17,17,1,40,869.6348254857679,1,big
img62,62,1,96,890.7301853542155,2,big_bs
img53,53,1,84,917.147657413208,1,big
img80,80,2,134,942.7866094515491,2,big_bs
img102,102,1,5,960.5327546899149,1,big_bs
img57,57,1,88,969.4311154116954,1,big
img61,61,1,95,976.092247431071,1,big
img67,67,2,107,978.0190715803211,2,big_bs
img41,41,1,71,1007.3649155912669,1,big
img48,48,1,78,1011.447859511372,1,big
img84,84,1,139,1028.265048525788,1,big
img93,93,1,149,1036.2360059706466,1,big
img33,33,1,60,1045.1056377657346,1,big_bs
img58,58,1,89,1051.2464220868633,2,big_bs
img108,108,2,13,1053.6747476284581,2,big_bs
img71,71,2,116,1077.9546550861803,2,big_bs
img60,60,1,94,1081.759537885465,1,big_bs
img69,69,2,111,1087.8772096525515,2,big_bs
img32,32,1,59,1095.84207389067,1,big
img94,94,1,150,1100.504812988531,1,big
img55,55,1,86,1131.860680116991,1,big
img43,43,1,73,1170.539288173171,1,big
img81,81,2,136,1173.897546248073,2,big_bs
img38,38,1,66,1204.8446169332526,1,big
img45,45,1,75,1208.2982638992646,1,big
img72,72,2,118,1223.4575463601532,2,big_bs
img82,82,1,137,1262.157601447362,1,big
img19,19,1,42,1271.4517548594763,1,big
img111,111,1,17,1279.077644415119,1,big
img27,27,1,53,1332.1306207485454,1,big
img20,20,1,44,1339.7357822298281,1,big_bs
img2,2,1,43,1348.430518967859,1,big
img90,90,1,146,1355.6230891643645,1,big
img31,31,1,58,1380.7472769441072,1,big
img28,28,1,54,1394.7487576456592,1,big
img30,30,1,57,1407.2657923157049,1,big
img101,101,1,4,1415.2362664488887,1,big
img91,91,1,147,1439.8166803052748,1,big
img56,56,1,87,1458.9934855653491,1,big_bs
img109,109,1,14,1479.8561458394797,1,big
img104,104,1,7,1500.24563858793,1,big
img105,105,2,9,1504.4688100122892,2,big_bs
img6,6,1,93,1510.742425336978,1,big
img4,4,1,68,1535.967965064789,1,big
img35,35,1,62,1541.6002575492334,1,big
img95,95,1,151,1601.8684142625584,1,big
img68,68,1,108,1630.523405470148,2,big_bs
img37,37,1,64,1663.6419251571745,2,big
img78,78,1,128,1682.5106179714533,2,big_bs
img29,29,1,55,1693.2301579379518,1,big
img50,50,1,81,1705.2829596709303,1,big
img98,98,1,154,1713.2633800237386,1,big
img99,99,1,155,1717.6437975420044,1,big
img39,39,1,67,1719.3243751971556,1,big
img59,59,1,91,1737.091258421511,2,big_bs
img14,14,1,37,1753.0039673905308,1,big
img79,79,2,131,1780.0422102115842,2,big_bs
img22,22,3,48,1800.0584058518984,3,big
img92,92,1,148,1852.617175591028,1,big
img96,96,1,152,1885.709584120954,1,big
img70,70,2,114,1904.8175421643298,2,big_bs
img16,16,1,39,2073.432721526466,1,big
img100,100,1,3,3695.4607665203503,1,big
img26,26,1,52,3765.0802501053627,1,big
img25,25,1,51,3846.2532939257,1,big
img24,24,1,50,5757.941052413009,1,big
img97,97,1,153,5782.901646050455,1,big
img23,23,1,49,6180.634426636193,1,big
